Date;Name;Email;Amount
Tue Feb 06 2018 00:00:00 GMT+0000 (GMT);alli;alli@hi.is;12
Tue Feb 06 2018 00:00:00 GMT+0000 (GMT);alli;alli@hi.is;212
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);ad;adalsteinn95@gmail.com;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);asdfasdf;adalsteinn95@gmail.com;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);as;adsf@fwe.is;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);adlli;adalsteinn95@gmail.com;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);asdf;asdfasdf@fsadf.is;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);sdf;adalsteinn95@gmail.com;123
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);asdf;adsf@fwe.is;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);asdf;asdfasdf@fsadf.is;12
Wed Feb 07 2018 00:00:00 GMT+0000 (GMT);asdfasdf;adsfasf@gsf.is;12
Fri Feb 09 2018 00:00:00 GMT+0000 (GMT);refreg;sdf@hi.is;123
Fri Feb 09 2018 00:00:00 GMT+0000 (GMT);refreg;sdf@hi.is;123
Mon Feb 12 2018 00:00:00 GMT+0000 (GMT);ad;asdfasdf@fsadf.is;1
Mon Feb 12 2018 00:00:00 GMT+0000 (GMT);ad;asdfasdf@fsadf.is;1
Mon Feb 12 2018 00:00:00 GMT+0000 (GMT);Aðalsteinn Pálsson;adalsteinn95@gmail.com;12
Mon Feb 12 2018 00:00:00 GMT+0000 (GMT);&lt;script&gt;alert(1)&lt;/script&gt;;12@gi.is;12
Tue Feb 13 2018 00:00:00 GMT+0000 (GMT);lala;adalsteinn95@gmail.com;12
Tue Feb 13 2018 00:00:00 GMT+0000 (GMT);Aðalsteinn Pálsson;adalsteinn95@gmail.com;12
Tue Feb 13 2018 00:00:00 GMT+0000 (GMT);lala;asdfasdf@fsadf.is;12
